Car_name,Num_of_reviews,General_rate,Comfort,Interior design,Performance,Value for the money,Exterior styling,Reliability,Year,Brand,Model
2023     Toyota     Corolla.,,,,,,,,,2023,Toyota,Corolla.
2023     Toyota     RAV4 Hybrid.,,,,,,,,,2023,Toyota,RAV4 Hybrid.
2023     Toyota     Venza.,,,,,,,,,2023,Toyota,Venza.
2023     Toyota     Highlander Hybrid.,1,4.9,5,4,5,5,5,5,2023,Toyota,Highlander Hybrid.
2023     Toyota     GR86.,2,4.8,5,5,4.5,5,5,4.5,2023,Toyota,GR86.
2023     Toyota     Prius.,,,,,,,,,2023,Toyota,Prius.
2023     Toyota     Supra.,,,,,,,,,2023,Toyota,Supra.
2023     Toyota     Corolla Hatchback.,,,,,,,,,2023,Toyota,Corolla Hatchback.
2023     Toyota     Crown.,1,3.6,3,4,3,3,4,4,2023,Toyota,Crown.
2023     Volkswagen     Taos.,1,5,5,5,5,5,5,5,2023,Volkswagen,Taos.
2023     Volkswagen     Tiguan.,2,5,5,5,5,5,5,5,2023,Volkswagen,Tiguan.
2023     Volkswagen     Jetta GLI.,1,4.9,5,5,5,5,4,5,2023,Volkswagen,Jetta GLI.
2023     Volkswagen     Atlas Cross Sport.,,,,,,,,,2023,Volkswagen,Atlas Cross Sport.
2023     Volkswagen     Jetta.,,,,,,,,,2023,Volkswagen,Jetta.
2023     Volkswagen     Arteon.,,,,,,,,,2023,Volkswagen,Arteon.
2023     Volkswagen     Atlas.,,,,,,,,,2023,Volkswagen,Atlas.
2023     Volkswagen     Golf GTI.,,,,,,,,,2023,Volkswagen,Golf GTI.
2023     Volkswagen     ID.4.,2,4.8,5,5,4.5,5,5,4.5,2023,Volkswagen,ID.4.
2023     Volkswagen     Golf R.,,,,,,,,,2023,Volkswagen,Golf R.
2023     Volvo     XC60 Recharge Plug-In Hybrid.,,,,,,,,,2023,Volvo,XC60 Recharge Plug-In Hybrid.
2023     Volvo     V60 Cross Country.,,,,,,,,,2023,Volvo,V60 Cross Country.
2023     Volvo     S60.,,,,,,,,,2023,Volvo,S60.
2023     Volvo     XC60.,2,5,5,5,5,5,5,5,2023,Volvo,XC60.
2023     Volvo     XC40.,2,4.2,4.5,4,4,3.5,4.5,4.5,2023,Volvo,XC40.
2023     Volvo     XC90 Recharge Plug-In Hybrid.,,,,,,,,,2023,Volvo,XC90 Recharge Plug-In Hybrid.
2023     Volvo     XC90.,,,,,,,,,2023,Volvo,XC90.
2023     Volvo     V90 Cross Country.,,,,,,,,,2023,Volvo,V90 Cross Country.
2023     Volvo     S90.,,,,,,,,,2023,Volvo,S90.
2023     Volvo     V60 Recharge Plug-In Hybrid.,,,,,,,,,2023,Volvo,V60 Recharge Plug-In Hybrid.
2023     Volvo     S60 Recharge Plug-In Hybrid.,,,,,,,,,2023,Volvo,S60 Recharge Plug-In Hybrid.
2023     Volvo     S90 Recharge Plug-In Hybrid.,,,,,,,,,2023,Volvo,S90 Recharge Plug-In Hybrid.
2022     Acura     TLX.,3,4.8,4.3,4.3,4.7,5,5,5,2022,Acura,TLX.
2022     Acura     MDX.,19,4.7,4.8,4.6,4.7,4.6,4.9,4.6,2022,Acura,MDX.
2022     Acura     RDX.,2,4.8,5,5,4.5,5,4.5,5,2022,Acura,RDX.
2022     Acura     ILX.,,,,,,,,,2022,Acura,ILX.
2022     Acura     NSX.,,,,,,,,,2022,Acura,NSX.
2022     Audi     Q3.,1,4.6,5,4,4,5,5,5,2022,Audi,Q3.
2022     Audi     S5.,,,,,,,,,2022,Audi,S5.
2022     Audi     S4.,,,,,,,,,2022,Audi,S4.
2022     Audi     Q7.,2,4.2,4.5,4.5,4,4,4,4,2022,Audi,Q7.
2022     Audi     RS 5.,,,,,,,,,2022,Audi,RS 5.
2022     Audi     SQ7.,,,,,,,,,2022,Audi,SQ7.
2022     Audi     SQ5.,,,,,,,,,2022,Audi,SQ5.
2022     Audi     Q8.,1,4.9,5,5,5,4,5,5,2022,Audi,Q8.
2022     Audi     A6.,,,,,,,,,2022,Audi,A6.
2022     Audi     S6.,,,,,,,,,2022,Audi,S6.
2022     Audi     TT.,,,,,,,,,2022,Audi,TT.
2022     Audi     Q5.,2,4.9,5,5,5,4,5,5,2022,Audi,Q5.
2022     Audi     R8.,,,,,,,,,2022,Audi,R8.
2022     Audi     A4.,1,4.9,5,5,5,4,5,5,2022,Audi,A4.
2022     Audi     A8.,1,5,5,5,5,5,5,5,2022,Audi,A8.
2022     Audi     A6 allroad.,,,,,,,,,2022,Audi,A6 allroad.
2022     Audi     RS Q8.,,,,,,,,,2022,Audi,RS Q8.
2022     Audi     A3.,2,5,5,5,5,5,5,5,2022,Audi,A3.
2022     Audi     A4 allroad.,,,,,,,,,2022,Audi,A4 allroad.
2022     Audi     e-tron GT.,,,,,,,,,2022,Audi,e-tron GT.
2022     Audi     A5.,,,,,,,,,2022,Audi,A5.
2022     Audi     S8.,,,,,,,,,2022,Audi,S8.
2022     Audi     TT RS.,,,,,,,,,2022,Audi,TT RS.
2022     Audi     S3.,,,,,,,,,2022,Audi,S3.
2022     Audi     RS e-tron GT.,,,,,,,,,2022,Audi,RS e-tron GT.
2022     Audi     A7.,,,,,,,,,2022,Audi,A7.
2022     Audi     RS 6 Avant.,,,,,,,,,2022,Audi,RS 6 Avant.
2022     Audi     RS 7.,2,4.9,5,5,5,4,5,5,2022,Audi,RS 7.
2022     Audi     S7.,,,,,,,,,2022,Audi,S7.
2022     Audi     Q5 e.,2,4.8,5,5,5,4.5,5,4.5,2022,Audi,Q5 e.
2022     Audi     e-tron.,,,,,,,,,2022,Audi,e-tron.
2022     Audi     Q4 e-tron.,2,4.2,4,4.5,4,3.5,5,4,2022,Audi,Q4 e-tron.
2022     Audi     RS 3.,1,5,5,5,5,5,5,5,2022,Audi,RS 3.
2022     BMW     M550.,1,4.9,5,5,5,4,5,5,2022,BMW,M550.
2022     BMW     430 Gran Coupe.,2,5,5,5,5,5,5,5,2022,BMW,430 Gran Coupe.
2022     BMW     M5.,,,,,,,,,2022,BMW,M5.
2022     BMW     X3.,,,,,,,,,2022,BMW,X3.
2022     BMW     Z4.,,,,,,,,,2022,BMW,Z4.
2022     BMW     M4.,,,,,,,,,2022,BMW,M4.
2022     BMW     M340.,,,,,,,,,2022,BMW,M340.
2022     BMW     X2.,2,4.8,5,4.5,5,4.5,4.5,5,2022,BMW,X2.
2022     BMW     X5 PHEV.,,,,,,,,,2022,BMW,X5 PHEV.
2022     BMW     X6.,,,,,,,,,2022,BMW,X6.
2022     BMW     330e.,2,5,5,5,4.5,5,5,5,2022,BMW,330e.
2022     BMW     540.,1,4.4,4,5,5,4,4,5,2022,BMW,540
2022     BMW     X7.,,,,,,,,,2022,BMW,X7.
2022     BMW     X5.,4,4.8,4.5,5,5,4.2,5,4.8,2022,BMW,X5.
2022     BMW     228 Gran Coupe.,,,,,,,,,2022,BMW,228 Gran Coupe.
2022     BMW     530.,,,,,,,,,2022,BMW,530
2022     BMW     740.,,,,,,,,,2022,BMW,740
2022     BMW     430.,,,,,,,,,2022,BMW,430
2022     BMW     M3.,2,5,5,5,5,4.5,5,5,2022,BMW,M3.
2022     BMW     X3 M.,1,5,5,5,5,5,5,5,2022,BMW,X3 M.
2022     BMW     750.,,,,,,,,,2022,BMW,750
2022     BMW     M8.,,,,,,,,,2022,BMW,M8.
2022     BMW     M440 Gran Coupe.,,,,,,,,,2022,BMW,M440 Gran Coupe.
2022     BMW     330.,,,,,,,,,2022,BMW,330
2022     BMW     M240.,1,5,5,5,5,5,5,5,2022,BMW,M240.
2022     BMW     X5 M.,,,,,,,,,2022,BMW,X5 M.
2022     BMW     M235 Gran Coupe.,,,,,,,,,2022,BMW,M235 Gran Coupe.
2022     BMW     840.,,,,,,,,,2022,BMW,840
2022     BMW     230.,,,,,,,,,2022,BMW,230
2022     BMW     X6 M.,1,4.6,5,4,5,4,5,5,2022,BMW,X6 M.
2022     BMW     M440.,,,,,,,,,2022,BMW,M440.
2022     BMW     M850 Gran Coupe.,,,,,,,,,2022,BMW,M850 Gran Coupe.
2022     BMW     X1.,2,5,5,5,5,5,5,5,2022,BMW,X1.
2022     BMW     ALPINA B8 Gran Coupe.,,,,,,,,,2022,BMW,ALPINA B8 Gran Coupe.
2022     BMW     840 Gran Coupe.,,,,,,,,,2022,BMW,840 Gran Coupe.
2022     BMW     X4 M.,,,,,,,,,2022,BMW,X4 M.
2022     BMW     ALPINA B7.,,,,,,,,,2022,BMW,ALPINA B7.
2022     BMW     X4.,,,,,,,,,2022,BMW,X4.
2022     BMW     530e.,,,,,,,,,2022,BMW,530e.
2022     BMW     M760.,,,,,,,,,2022,BMW,M760.
2022     BMW     M850.,,,,,,,,,2022,BMW,M850.
2022     BMW     745e.,,,,,,,,,2022,BMW,745e.
2022     Buick     Enclave.,4,5,5,5,5,5,5,5,2022,Buick,Enclave.
2022     Buick     Encore.,3,4.1,4.3,4,3.7,3.7,4.7,4.7,2022,Buick,Encore.
2022     Buick     Envision.,5,4.8,4.6,4.8,4.6,4.8,5,5,2022,Buick,Envision.
2022     Buick     Encore GX.,4,4.8,5,4.8,4.8,4.8,4.8,4.8,2022,Buick,Encore GX.
2022     Cadillac     Escalade.,4,4.2,4.5,4.2,4,4,4.2,4.5,2022,Cadillac,Escalade.
2022     Cadillac     CT5.,4,4.4,4.2,4,4.5,4,4.8,4.5,2022,Cadillac,CT5.
2022     Cadillac     XT4.,1,4,5,4,3,3,5,4,2022,Cadillac,XT4.
2022     Cadillac     XT5.,1,5,5,5,5,5,5,5,2022,Cadillac,XT5.
2022     Cadillac     CT5-V.,1,5,5,5,5,5,5,5,2022,Cadillac,CT5-V.
2022     Cadillac     CT4.,2,4.8,5,4.5,5,4.5,5,5,2022,Cadillac,CT4.
2022     Cadillac     CT4-V.,,,,,,,,,2022,Cadillac,CT4-V.
2022     Cadillac     XT6.,,,,,,,,,2022,Cadillac,XT6.
2022     Cadillac     Escalade ESV.,,,,,,,,,2022,Cadillac,Escalade ESV.
2022     Chevrolet     Corvette.,8,4.3,4.1,4,4.6,4.4,4.4,4.2,2022,Chevrolet,Corvette.
2022     Chevrolet     Colorado.,11,4.5,4.5,4.4,4.4,4.3,4.8,4.4,2022,Chevrolet,Colorado.
2022     Chevrolet     Silverado 1500.,3,4.8,5,5,5,4.3,4.7,4.7,2022,Chevrolet,Silverado 1500.
2022     Chevrolet     Silverado 1500 Limited.,,,,,,,,,2022,Chevrolet,Silverado 1500 Limited.
2022     Chevrolet     Equinox.,10,4.2,4.3,4.1,4.2,4.1,4.5,4.2,2022,Chevrolet,Equinox.
2022     Chevrolet     Silverado 2500.,,,,,,,,,2022,Chevrolet,Silverado 2500.
2022     Chevrolet     Trax.,3,4.6,4.3,4.7,4.7,4.7,4.7,4.7,2022,Chevrolet,Trax.
2022     Chevrolet     Silverado 3500.,,,,,,,,,2022,Chevrolet,Silverado 3500.
2022     Chevrolet     Blazer.,6,4.8,4.8,4.8,5,4.3,5,5,2022,Chevrolet,Blazer.
2022     Chevrolet     Camaro.,6,4.6,4.5,4.5,4.8,4.7,4.7,4.5,2022,Chevrolet,Camaro.
2022     Chevrolet     Malibu.,6,4.4,4.7,4.2,4.3,4.3,4.3,4.8,2022,Chevrolet,Malibu.
2022     Chevrolet     Trailblazer.,3,4.3,4,5,5,3.7,4.7,4.7,2022,Chevrolet,Trailblazer.
2022     Chevrolet     Traverse.,4,2.9,3.5,2.5,3.5,2,3.8,2.8,2022,Chevrolet,Traverse.
2022     Chevrolet     Express 2500.,,,,,,,,,2022,Chevrolet,Express 2500.
2022     Chevrolet     Tahoe.,3,4.9,5,4.7,5,5,4.7,5,2022,Chevrolet,Tahoe.
2022     Chevrolet     Suburban.,3,5,5,5,5,5,5,5,2022,Chevrolet,Suburban.
2022     Chevrolet     Spark.,1,4.7,5,4,5,4,5,5,2022,Chevrolet,Spark.
2022     Chevrolet     Express 3500.,,,,,,,,,2022,Chevrolet,Express 3500.
2022     Chrysler     Pacifica.,4,3.7,4,3.8,3.8,3.2,3.5,3.8,2022,Chrysler,Pacifica.
2022     Chrysler     Pacifica Hybrid.,,,,,,,,,2022,Chrysler,Pacifica Hybrid.
2022     Chrysler     300.,1,5,5,5,5,5,5,5,2022,Chrysler,300
2022     Chrysler     Voyager.,,,,,,,,,2022,Chrysler,Voyager.
2022     Dodge     Durango.,2,4.4,4.5,4.5,5,4,4,4.5,2022,Dodge,Durango.
2022     Dodge     Challenger.,10,4.9,4.9,4.7,4.9,4.8,5,5,2022,Dodge,Challenger.
2022     Dodge     Charger.,2,5,5,5,5,5,5,5,2022,Dodge,Charger.
2022     Ford     Mustang.,2,4.5,4,4,5,4,5,4.5,2022,Ford,Mustang.
2022     Ford     F-350.,,,,,,,,,2022,Ford,F-350.
2022     Ford     Shelby GT500.,,,,,,,,,2022,Ford,Shelby GT500.
2022     Ford     F-150.,5,4.8,5,4.6,4.8,4.6,5,4.6,2022,Ford,F-150.
2022     Ford     Explorer.,13,4.3,4.3,4.1,4.5,4,4.7,4.5,2022,Ford,Explorer.
2022     Ford     F-250.,2,4.7,5,5,5,5,5,3,2022,Ford,F-250.
2022     Ford     EcoSport.,2,2.9,3,3,2.5,3,2.5,3,2022,Ford,EcoSport.
2022     Ford     Bronco.,10,4.6,4.6,4.7,4.8,4.2,4.9,4.3,2022,Ford,Bronco.
2022     Ford     Expedition.,,,,,,,,,2022,Ford,Expedition.
2022     Ford     Escape.,9,3.4,3.3,3.3,3.6,3.4,3.7,3.4,2022,Ford,Escape.
2022     Ford     Bronco Sport.,10,4.6,4.5,4.6,4.3,4.6,4.6,4.6,2022,Ford,Bronco Sport.
2022     Ford     Escape PHEV.,2,5,5,5,5,5,5,5,2022,Ford,Escape PHEV.
2022     Ford     Ranger.,5,4.1,4.4,4,4,3.6,4.6,4.2,2022,Ford,Ranger.
2022     Ford     Transit Connect.,,,,,,,,,2022,Ford,Transit Connect.
2022     Ford     Maverick.,32,4.5,4.5,4.5,4.6,4.6,4.5,4.6,2022,Ford,Maverick.
2022     Ford     Edge.,10,4.7,4.8,4.5,4.7,4.4,4.7,4.8,2022,Ford,Edge.
2022     Ford     Expedition Max.,,,,,,,,,2022,Ford,Expedition Max.
2022     Ford     F-450.,1,4.4,5,5,2,5,5,5,2022,Ford,F-450.
2022     Ford     Transit-250.,,,,,,,,,2022,Ford,Transit-250.
2022     GMC     Canyon.,7,4.4,4.1,4.1,4.6,4.1,4.7,4.4,2022,GMC,Canyon.
2022     GMC     Yukon.,1,5,5,5,5,5,5,5,2022,GMC,Yukon.
2022     GMC     Sierra 1500.,2,5,5,5,5,4.5,5,5,2022,GMC,Sierra 1500.
2022     GMC     Terrain.,10,4.1,4.4,4.1,3.8,3.8,4.3,4.1,2022,GMC,Terrain.
2022     GMC     Sierra 2500.,2,4.6,5,4.5,4,4,5,5,2022,GMC,Sierra 2500.
2022     GMC     Sierra 1500 Limited.,,,,,,,,,2022,GMC,Sierra 1500 Limited.
2022     GMC     Acadia.,3,4.9,5,4.7,5,4.7,5,5,2022,GMC,Acadia.
2022     GMC     Savana 2500.,,,,,,,,,2022,GMC,Savana 2500.
2022     GMC     Yukon XL.,,,,,,,,,2022,GMC,Yukon XL.
2022     GMC     Sierra 3500.,2,3.7,4,2.5,4,3,4.5,4,2022,GMC,Sierra 3500.
2022     GMC     Savana 3500.,,,,,,,,,2022,GMC,Savana 3500.
2022     Honda     Pilot.,4,5,5,5,5,5,5,5,2022,Honda,Pilot.
2022     Honda     Accord.,4,5,5,5,5,5,5,5,2022,Honda,Accord.
2022     Honda     Civic.,7,4.6,4.6,4.9,4.4,4.6,4.6,4.7,2022,Honda,Civic.
2022     Honda     Ridgeline.,7,4.8,5,4.9,4.9,4.3,4.7,5,2022,Honda,Ridgeline.
2022     Honda     HR-V.,5,3.8,3.8,3.2,3.6,3.6,4.2,4.2,2022,Honda,HR-V.
2022     Honda     CR-V.,11,4.8,4.9,4.8,4.7,4.8,4.7,4.9,2022,Honda,CR-V.
2022     Honda     Passport.,9,4.9,5,5,4.8,4.8,4.9,5,2022,Honda,Passport.
2022     Honda     Accord Hybrid.,9,5,4.9,5,5,4.9,4.9,5,2022,Honda,Accord Hybrid.
2022     Honda     CR-V Hybrid.,12,4.7,4.6,4.9,4.5,4.6,4.8,4.7,2022,Honda,CR-V Hybrid.
2022     Honda     Odyssey.,9,4.3,4.3,4.4,4.3,4.1,4.3,4.3,2022,Honda,Odyssey.
2022     Honda     Insight.,,,,,,,,,2022,Honda,Insight.
2022     Honda     Civic Si.,4,4.5,4.2,4,4.5,4.2,4.5,5,2022,Honda,Civic Si.
2022     Hyundai     Elantra.,5,4.2,4,4.4,4,4.2,4.6,4,2022,Hyundai,Elantra.
2022     Hyundai     Santa Fe.,7,4.6,4.7,4.7,4.3,4.6,4.9,4.4,2022,Hyundai,Santa Fe.
2022     Hyundai     Elantra HEV.,,,,,,,,,2022,Hyundai,Elantra HEV.
2022     Hyundai     Palisade.,4,4.8,5,5,4.8,4.8,4.8,4.8,2022,Hyundai,Palisade.
2022     Hyundai     Kona N.,4,4.8,4,5,5,4.5,5,5,2022,Hyundai,Kona N.
2022     Hyundai     Tucson.,43,4.6,4.8,4.8,4.2,4.5,4.8,4.4,2022,Hyundai,Tucson.
2022     Hyundai     Santa Cruz.,24,4.3,4.5,4.1,4.4,3.9,4.7,4.2,2022,Hyundai,Santa Cruz.
2022     Hyundai     Elantra N.,2,5,5,4.5,5,5,5,5,2022,Hyundai,Elantra N.
2022     Hyundai     Kona.,12,4.3,4.2,4.1,4.2,4.4,4.6,4.3,2022,Hyundai,Kona.
2022     Hyundai     Tucson Hybrid.,10,4.8,4.9,4.9,4.4,4.8,5,4.9,2022,Hyundai,Tucson Hybrid.
2022     Hyundai     Sonata.,6,4.4,4.7,4.7,4.3,4.2,4.7,4.3,2022,Hyundai,Sonata.
2022     Hyundai     Tucson Plug-In Hybrid.,2,4.1,4,5,3.5,3.5,5,3.5,2022,Hyundai,Tucson Plug-In Hybrid.
2022     Hyundai     Venue.,13,4.8,4.4,4.8,4.8,4.8,4.9,4.8,2022,Hyundai,Venue.
2022     Hyundai     Santa Fe HEV.,1,5,5,5,5,5,5,5,2022,Hyundai,Santa Fe HEV.
2022     Hyundai     Accent.,5,4.3,4,4,4.6,4.2,4.4,4.6,2022,Hyundai,Accent.
2022     Hyundai     Veloster N.,,,,,,,,,2022,Hyundai,Veloster N.
2022     Hyundai     Sonata Hybrid.,2,5,5,5,5,4.5,5,5,2022,Hyundai,Sonata Hybrid.
2022     Hyundai     IONIQ Hybrid.,1,4.6,5,4,5,5,3,5,2022,Hyundai,IONIQ Hybrid.
2022     Hyundai     Santa Fe Plug-In Hybrid.,6,4.7,5,4.7,4.3,4.2,4.7,5,2022,Hyundai,Santa Fe Plug-In Hybrid.
2022     INFINITI     Q60.,,,,,,,,,2022,INFINITI,Q60.
2022     INFINITI     QX80.,1,4.7,5,5,5,4,4,5,2022,INFINITI,QX80.
2022     INFINITI     QX50.,,,,,,,,,2022,INFINITI,QX50.
2022     INFINITI     QX60.,3,5,5,5,5,4.7,5,5,2022,INFINITI,QX60.
2022     INFINITI     QX55.,4,4.4,4.5,4.5,4.2,4.2,4.8,4,2022,INFINITI,QX55.
2022     INFINITI     Q50.,,,,,,,,,2022,INFINITI,Q50.
2022     Jaguar     XF.,,,,,,,,,2022,Jaguar,XF.
2022     Jaguar     F-PACE.,,,,,,,,,2022,Jaguar,F-PACE.
2022     Jaguar     I-PACE.,2,2.8,2.5,3,3,2,3,3,2022,Jaguar,I-PACE.
2022     Jaguar     F-TYPE.,,,,,,,,,2022,Jaguar,F-TYPE.
2022     Jaguar     E-PACE.,,,,,,,,,2022,Jaguar,E-PACE.
2022     Jeep     Wrangler Unlimited.,7,4.8,4.7,4.7,4.9,4.6,5,4.9,2022,Jeep,Wrangler Unlimited.
2022     Jeep     Gladiator.,8,4.9,4.9,4.8,5,4.9,4.9,4.9,2022,Jeep,Gladiator.
2022     Jeep     Grand Wagoneer.,2,5,5,5,5,4.5,5,5,2022,Jeep,Grand Wagoneer.
2022     Jeep     Grand Cherokee WK.,6,4.6,4.8,4.8,4.5,4.5,4.8,4.5,2022,Jeep,Grand Cherokee WK.
2022     Jeep     Grand Cherokee.,4,4.6,5,4.8,4.5,4.5,4.5,4.5,2022,Jeep,Grand Cherokee.
2022     Jeep     Wagoneer.,,,,,,,,,2022,Jeep,Wagoneer.
2022     Jeep     Renegade.,6,3.2,3.8,4,2.5,2.5,4.2,3,2022,Jeep,Renegade.
2022     Jeep     Grand Cherokee 4xe.,2,4,5,5,3,3,5,4,2022,Jeep,Grand Cherokee 4xe.
2022     Jeep     Wrangler Unlimited 4xe.,3,4.1,4,4,4.7,3.3,5,3.7,2022,Jeep,Wrangler Unlimited 4xe.
2022     Jeep     Compass.,13,4.6,4.8,4.6,3.9,4.3,4.9,4.8,2022,Jeep,Compass.
2022     Jeep     Cherokee.,5,4.3,4.4,4.4,4.8,4,4.4,3.8,2022,Jeep,Cherokee.
2022     Jeep     Grand Cherokee L.,9,3.8,4.3,4.2,3.4,3.3,4.3,3.6,2022,Jeep,Grand Cherokee L.
2022     Jeep     Wrangler.,4,4.1,3.8,4.2,4,3.5,4.2,4.2,2022,Jeep,Wrangler.
2022     Kia     Rio.,5,4.5,4.4,4.2,4.2,4.8,4.6,5,2022,Kia,Rio.
2022     Kia     Telluride.,12,4.6,4.9,4.8,4.4,4.6,4.8,4,2022,Kia,Telluride.
2022     Kia     Sorento.,4,4.1,4.5,4.2,3.8,4,4.2,4,2022,Kia,Sorento.
2022     Kia     Carnival.,10,4.6,4.7,4.6,4.5,4.5,4.4,4.8,2022,Kia,Carnival.
2022     Kia     Forte.,11,4.8,4.6,4.7,4.6,4.8,4.8,4.8,2022,Kia,Forte.
2022     Kia     Soul.,8,4.1,4.1,4.1,4.2,4,4.6,3.5,2022,Kia,Soul.
2022     Kia     Niro.,3,4.6,4,4.7,3.7,5,5,4.7,2022,Kia,Niro.
2022     Kia     K5.,7,4.5,4.4,4.3,4.6,4.4,4.7,4.7,2022,Kia,K5.
2022     Kia     Sorento Plug-In Hybrid.,4,4.9,5,5,5,4,5,5,2022,Kia,Sorento Plug-In Hybrid.
2022     Kia     Stinger.,4,4.8,5,4.8,4.8,4.8,5,4.8,2022,Kia,Stinger.
2022     Kia     Seltos.,2,4.5,4.5,4.5,4,5,5,4.5,2022,Kia,Seltos.
2022     Kia     Sportage.,8,4.8,4.9,4.6,4.8,4.6,5,4.6,2022,Kia,Sportage.
2022     Kia     Niro Plug-In Hybrid.,2,4.6,5,4.5,4.5,5,4.5,4.5,2022,Kia,Niro Plug-In Hybrid.
2022     Kia     Sorento Hybrid.,2,4.8,5,5,4.5,4.5,5,5,2022,Kia,Sorento Hybrid.
2022     Land Rover     Discovery Sport.,,,,,,,,,2022,Land,Rover Discovery Sport.
2022     Land Rover     Range Rover Velar.,1,5,5,5,5,5,5,5,2022,Land,Rover Range Rover Velar.
2022     Land Rover     Range Rover Sport.,,,,,,,,,2022,Land,Rover Range Rover Sport.
2022     Land Rover     Range Rover Evoque.,,,,,,,,,2022,Land,Rover Range Rover Evoque.
2022     Land Rover     Range Rover.,,,,,,,,,2022,Land,Rover Range Rover.
2022     Land Rover     Defender.,1,4.3,4,5,5,3,5,4,2022,Land,Rover Defender.
2022     Land Rover     Discovery.,,,,,,,,,2022,Land,Rover Discovery.
2022     Lexus     RX 350L.,2,3.9,3.5,3.5,4,3,4.5,4.5,2022,Lexus,RX 350L.
2022     Lexus     RC F.,,,,,,,,,2022,Lexus,RC F.
2022     Lexus     RX 350.,6,4.2,4.8,4.8,4,3.3,5,3.7,2022,Lexus,RX 350.
2022     Lexus     LS 500.,,,,,,,,,2022,Lexus,LS 500.
2022     Lexus     NX 450h+.,,,,,,,,,2022,Lexus,NX 450h+.
2022     Lexus     RC 350.,,,,,,,,,2022,Lexus,RC 350.
2022     Lexus     RX 450h.,,,,,,,,,2022,Lexus,RX 450h.
2022     Lexus     IS 350.,,,,,,,,,2022,Lexus,IS 350.
2022     Lexus     ES 300h.,5,4.8,5,4.6,4.6,4.6,4.6,5,2022,Lexus,ES 300h.
2022     Lexus     RC 300.,,,,,,,,,2022,Lexus,RC 300.
2022     Lexus     ES 350.,5,4.4,4.4,4.4,4.4,4.6,4.6,4.6,2022,Lexus,ES 350.
2022     Lexus     GX 460.,5,4.6,4.4,4.4,4.2,4.6,4.6,5,2022,Lexus,GX 460.
2022     Lexus     LS 500h.,,,,,,,,,2022,Lexus,LS 500h.
2022     Lexus     NX 350.,5,4.4,4.8,4.6,4.6,3.6,4.6,4.8,2022,Lexus,NX 350.
2022     Lexus     NX 350h.,,,,,,,,,2022,Lexus,NX 350h.
2022     Lexus     NX 250.,,,,,,,,,2022,Lexus,NX 250.
2022     Lexus     LX 600.,,,,,,,,,2022,Lexus,LX 600.
2022     Lexus     ES 250.,,,,,,,,,2022,Lexus,ES 250.
2022     Lexus     IS 500.,1,4.1,5,3,3,4,5,5,2022,Lexus,IS 500.
2022     Lexus     RX 450hL.,,,,,,,,,2022,Lexus,RX 450hL.
2022     Lexus     UX 200.,3,4.9,5,4.7,4.7,5,5,5,2022,Lexus,UX 200.
2022     Lexus     UX 250h.,,,,,,,,,2022,Lexus,UX 250h.
2022     Lexus     IS 300.,,,,,,,,,2022,Lexus,IS 300.
2022     Lexus     LC 500.,,,,,,,,,2022,Lexus,LC 500.
2022     Lincoln     Nautilus.,2,4.5,5,5,4,4,5,4.5,2022,Lincoln,Nautilus.
2022     Lincoln     Navigator.,,,,,,,,,2022,Lincoln,Navigator.
2022     Lincoln     Navigator L.,,,,,,,,,2022,Lincoln,Navigator L.
2022     Lincoln     Aviator.,4,3.4,4.2,4,2.8,2.2,4.2,3,2022,Lincoln,Aviator.
2022     Lincoln     Corsair.,6,4.7,5,4.8,4.3,4.5,5,4.3,2022,Lincoln,Corsair.
2022     Mazda     CX-5.,14,4.5,4.6,4.5,4.3,4.5,4.6,4.6,2022,Mazda,CX-5.
2022     Mazda     Mazda3.,2,4.8,4,5,5,4.5,4.5,5,2022,Mazda,Mazda3.
2022     Mazda     MX-5 Miata RF.,3,4.9,4.7,4.7,5,4.7,5,5,2022,Mazda,MX-5 Miata RF.
2022     Mazda     CX-30.,6,4.7,4.7,4.7,4.8,4.7,4.8,4.8,2022,Mazda,CX-30.
2022     Mazda     CX-9.,3,4.2,4.3,4.3,4.3,4,4.7,4,2022,Mazda,CX-9.
2022     Mazda     MX-5 Miata.,2,4.9,4.5,5,5,4.5,5,5,2022,Mazda,MX-5 Miata.
2022     Mazda     MX-30.,1,4,4,5,3,3,5,5,2022,Mazda,MX-30.
2022     Mercedes-Benz     AMG SL 63.,,,,,,,,,2022,Mercedes-Benz,AMG SL 63.
2022     Mercedes-Benz     Sprinter 2500.,,,,,,,,,2022,Mercedes-Benz,Sprinter 2500.
2022     Mercedes-Benz     AMG G 63.,,,,,,,,,2022,Mercedes-Benz,AMG G 63.
2022     Mercedes-Benz     A-Class.,1,4.6,5,5,4,4,5,4,2022,Mercedes-Benz,A-Class.
2022     Mercedes-Benz     GLC 300.,3,4.5,5,5,4,4,5,4.3,2022,Mercedes-Benz,GLC 300.
2022     Mercedes-Benz     E-Class.,1,3.7,3,3,4,4,4,4,2022,Mercedes-Benz,E-Class.
2022     Mercedes-Benz     S-Class.,1,4.7,5,5,5,5,4,4,2022,Mercedes-Benz,S-Class.
2022     Mercedes-Benz     C-Class.,2,5,5,5,5,4.5,5,5,2022,Mercedes-Benz,C-Class.
2022     Mercedes-Benz     GLE 350.,2,5,5,5,5,4.5,5,5,2022,Mercedes-Benz,GLE 350.
